respid,countrycode,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9
17792,1040,5,0,0,0,10,0,96,96,96
17794,1040,7,1,1,0,10,0,96,96,96
17795,1040,6,4,4,0,8,3,96,96,96
17800,1040,10,1,4,1,10,4,96,96,96
17802,1040,6,0,0,0,8,0,96,96,96
17811,1040,8,4,5,1,10,2,96,96,96
17820,1040,5,4,8,4,6,5,96,96,96
17821,1040,7,2,5,2,10,3,96,96,96
17826,1040,5,3,5,0,10,0,96,96,96
17832,1040,9,3,7,1,10,1,96,96,96
17837,1040,6,2,5,8,7,4,96,96,96
17840,1040,6,4,4,0,10,5,96,96,96
17842,1040,8,8,10,0,0,0,96,96,96
17845,1040,6,2,6,2,10,5,96,96,96
17846,1040,6,8,9,7,6,8,96,96,96
17860,1040,7,2,3,1,8,3,96,96,96
17868,1040,98,98,98,98,98,0,96,96,96
17869,1040,5,3,4,2,8,0,96,96,96
17870,1040,3,2,0,0,5,0,96,96,96
17873,1040,8,3,6,1,10,98,96,96,96
17879,1040,98,98,98,98,98,98,96,96,96
17880,1040,5,0,0,0,5,0,96,96,96
17881,1040,9,3,5,2,10,98,96,96,96
17888,1040,7,4,5,5,10,10,96,96,96
17902,1040,7,0,0,0,10,0,96,96,96
17903,1040,7,3,5,4,9,4,96,96,96
17904,1040,8,4,98,1,9,98,96,96,96
17911,1040,6,7,4,2,9,3,96,96,96
17913,1040,7,0,0,0,10,0,96,96,96
17923,1040,1,3,3,0,10,3,96,96,96
17927,1040,10,5,5,3,10,3,96,96,96
17931,1040,7,0,5,0,8,1,96,96,96
17936,1040,8,4,5,2,10,3,96,96,96
17955,1040,10,2,2,5,10,3,96,96,96
17972,1040,8,5,6,2,10,0,96,96,96
17975,1040,5,0,4,0,10,0,96,96,96
17984,1040,6,2,8,1,8,1,96,96,96
17989,1040,5,1,1,1,6,2,96,96,96
18017,1040,8,0,8,3,10,0,96,96,96
18023,1040,7,1,4,0,10,0,96,96,96
18061,1040,10,5,8,3,10,2,96,96,96
18070,1040,8,3,5,2,10,1,96,96,96
18073,1040,6,2,5,0,10,5,96,96,96
18097,1040,6,3,98,5,7,5,96,96,96
18121,1040,10,3,98,9,98,98,96,96,96
18131,1040,10,2,5,4,10,1,96,96,96
18141,1040,6,4,5,1,9,5,96,96,96
18144,1040,4,0,1,0,6,1,96,96,96
18147,1040,10,4,10,2,10,3,96,96,96
18162,1040,4,1,3,0,6,0,96,96,96
18163,1040,3,1,4,1,9,1,96,96,96
18166,1040,9,5,4,3,10,5,96,96,96
18169,1040,9,1,2,2,7,3,96,96,96
18175,1040,7,3,5,0,7,3,96,96,96
18190,1040,5,2,4,0,7,0,96,96,96
18192,1040,9,5,8,3,10,4,96,96,96
18259,1040,5,10,0,0,10,3,96,96,96
18289,1040,3,1,5,5,9,5,96,96,96
18319,1040,7,3,98,98,98,98,96,96,96
18321,1040,8,3,7,2,10,1,96,96,96
18323,1040,98,98,98,98,98,98,96,96,96
18331,1040,5,3,5,0,7,0,96,96,96
18334,1040,7,6,4,4,5,4,96,96,96
18337,1040,7,5,4,3,9,4,96,96,96
18346,1040,5,0,1,0,5,0,96,96,96
18362,1040,5,5,0,10,0,10,96,96,96
18374,1040,6,1,4,1,8,1,96,96,96
18403,1040,3,6,7,5,7,98,96,96,96
18410,1040,8,2,4,1,10,1,96,96,96
18425,1040,9,5,5,1,10,4,96,96,96
18433,1040,10,2,4,1,10,5,96,96,96
18460,1040,8,1,7,3,10,4,96,96,96
18464,1040,7,3,5,0,10,1,96,96,96
18486,1040,4,2,3,0,8,2,96,96,96
18503,1040,0,10,5,5,0,0,96,96,96
18507,1040,10,0,0,0,0,0,96,96,96
18510,1040,6,3,1,0,7,1,96,96,96
18513,1040,98,98,98,98,98,98,96,96,96
18517,1040,6,3,5,0,9,3,96,96,96
18539,1040,6,0,5,3,8,4,96,96,96
18548,1040,9,2,4,2,7,6,96,96,96
18554,1040,4,0,0,0,8,0,96,96,96
18557,1040,6,3,4,3,10,4,96,96,96
18562,1040,6,2,5,2,7,2,96,96,96
18566,1040,6,2,4,2,10,3,96,96,96
18571,1040,7,4,5,2,8,3,96,96,96
18576,1040,6,0,0,0,7,0,96,96,96
18579,1040,10,7,7,5,10,5,96,96,96
18585,1040,7,3,5,2,8,6,96,96,96
